Right_KneeIntExt,Right_KneeFlexExt,Right_KneeAbdAdd,Right_Hip_IntExt,Right_Hip_FlexExt,Right_Hip_AbdAdd,Right_AnkleRot,Right_Ankleprog,Right_Ankledors,Left_KneeIntExt,Left_KneeFlexExt,Left_KneeAbdAdd,Left_Hip_IntExt,Left_Hip_FlexExt,Left_Hip_AbdAdd,Left_AnkleRot,Left_Ankleprog,Left_Ankledors
2.966286422,-24.82505584,4.977901475,-4.515838765,-0.520222164,0.88790921,150.652014,76.91441534,0.017896344,-3.699061717,-5.05169992,-40.98264963,8.507045203,10.97816191,4.764276403,67.42040546,23.0809417,-1.919528746
2.874463613,-24.66722094,4.816540159,-4.577168759,-0.365567805,0.928307779,150.537535,76.62647565,-0.524634552,-3.595093364,-5.016166219,-40.98293632,8.474890659,10.82790222,4.807811563,67.41455746,23.10944436,-1.88149806
2.783786316,-24.50021601,4.653576348,-4.638054833,-0.212149391,0.969656008,150.4126318,76.34503557,-1.072986541,-3.493364536,-4.982296693,-40.97819366,8.443439443,10.68080232,4.848456691,67.40668605,23.13896001,-1.847614674
2.694389703,-24.32211219,4.491819759,-4.702101182,-0.059818225,1.009059899,150.2756936,76.06796712,-1.624434722,-3.392607981,-4.953478356,-40.97012023,8.409453419,10.53813779,4.886852107,67.40134088,23.17027247,-1.818167303
2.606672948,-24.13637407,4.332404238,-4.767029571,0.092395931,1.046883359,150.1286906,75.79626673,-2.178724934,-3.296770204,-4.920813578,-40.95771155,8.376697582,10.39635157,4.92142974,67.38914571,23.20203046,-1.78463976
2.520125244,-23.94236359,4.175234866,-4.835902596,0.243746788,1.083485395,149.9722194,75.52665704,-2.736479164,-3.200734107,-4.891377631,-40.94194178,8.342453088,10.25603604,4.952381542,67.37784355,23.23233191,-1.74778971
2.43486951,-23.73780353,4.019855471,-4.905814927,0.393008269,1.116823631,149.8053163,75.26140132,-3.299751246,-3.110646954,-4.863929726,-40.92203854,8.310614158,10.11877381,4.978298485,67.36782965,23.26113902,-1.711692145
2.351054603,-23.52250627,3.871193313,-4.981328067,0.542746049,1.141870475,149.6255291,74.99780639,-3.867232651,-3.028310114,-4.829578724,-40.89752243,8.279948131,9.982266646,4.996150788,67.35303064,23.28723079,-1.674052125
2.269800387,-23.29522186,3.728795858,-5.057184147,0.693184082,1.164310053,149.4357499,74.73812372,-4.435642735,-2.953651415,-4.793684382,-40.86957701,8.251212717,9.848443742,5.011893296,67.33900407,23.31626797,-1.644211494
2.194652511,-23.05920524,3.597370932,-5.139716189,0.845824802,1.180903811,149.2376547,74.48301212,-5.001481869,-2.881295634,-4.756345948,-40.83773084,8.224012241,9.723046248,5.024132547,67.32345921,23.34084369,-1.609432327
2.117541855,-22.81723997,3.469943529,-5.220743899,1.003344999,1.193657758,149.0315007,74.2314288,-5.568603274,-2.813460409,-4.714738857,-40.80223692,8.199633463,9.602043702,5.032877943,67.31012904,23.36472268,-1.574779688
2.038888042,-22.56666054,3.34633671,-5.305629446,1.164631091,1.201860717,148.8165402,73.98189775,-6.13824465,-2.753743976,-4.667301974,-40.76402866,8.178140448,9.489125012,5.039583785,67.29253854,23.38822471,-1.542626702
1.955551789,-22.30891916,3.226210914,-5.391459019,1.329291325,1.206254975,148.5919155,73.73231214,-6.709967443,-2.700838691,-4.617914979,-40.72384399,8.158538748,9.379602639,5.044753391,67.27435849,23.41225234,-1.514745745
1.868580603,-22.04030996,3.108639737,-5.48024478,1.498618734,1.207932909,148.3584773,73.48315827,-7.282105735,-2.65713776,-4.563852246,-40.68109194,8.141807507,9.277605746,5.048523261,67.25693541,23.43576268,-1.48838404
1.778226871,-21.7622786,2.991779796,-5.570876168,1.669701657,1.207327963,148.11682,73.2321611,-7.85570428,-2.622522284,-4.507257816,-40.63849948,8.130189867,9.179858282,5.051603902,67.23657852,23.45749597,-1.466058017
1.679473172,-21.47613071,2.874281671,-5.661188003,1.845036929,1.204932839,147.8702816,72.98042024,-8.430317532,-2.591430507,-4.445853287,-40.59389374,8.122407168,9.088043346,5.054836766,67.21635117,23.47303964,-1.437090978
1.577027687,-21.18123008,2.757816504,-5.753563349,2.024840129,1.200106811,147.6226463,72.73048401,-9.00323203,-2.571943111,-4.37786857,-40.54966904,8.11882869,9.001261843,5.057735551,67.19720931,23.48927488,-1.409679992
