Left_Ankledors,Left_Ankleprog,Left_AnkleRot,Left_Hip_AbdAdd,Left_Hip_FlexExt,Left_Hip_IntExt,Left_KneeAbdAdd,Left_KneeFlexExt,Left_KneeIntExt,Right_Ankledors,Right_Ankleprog,Right_AnkleRot,Right_Hip_AbdAdd,Right_Hip_FlexExt,Right_Hip_IntExt,Right_KneeAbdAdd,Right_KneeFlexExt,Right_KneeIntExt
-24.42103608,-44.1389965,68.38321083,47.04554299,-22.58645223,-10.92260858,48.62885062,10.47083013,1.875830263,4.927200457,-4.291297323,55.89393554,56.29459391,-35.6134598,-26.84014646,39.83513893,14.02222801,-4.800279266
-24.42145511,-44.12296486,68.35553695,47.05200361,-22.57127543,-10.90158646,48.59874356,10.49335416,1.910736636,4.80177519,-4.269721749,55.75111358,56.31008048,-35.47858448,-26.75472838,39.84661557,13.98378611,-4.758727688
-24.38663068,-44.12225922,68.361145,47.05401829,-22.57296167,-10.90329349,48.57237297,10.49595398,1.929782517,4.698450387,-4.342954106,55.71095564,56.29776206,-35.44701224,-26.76366113,39.86070334,14.00647624,-4.706604952
-24.3929643,-44.1062531,68.33498918,47.05204036,-22.5739976,-10.90923828,48.55257992,10.54856463,1.973416676,4.830016209,-4.456123664,55.83710661,56.32251835,-35.46436911,-26.83033241,39.82731839,14.04089447,-4.654913219
-24.39223822,-44.09551397,68.34842598,47.05445349,-22.57069932,-10.91059655,48.5367794,10.54508382,1.980780036,4.880107847,-4.407653539,55.7150564,56.37375791,-35.4854975,-26.82014516,39.79298065,14.00010397,-4.706902655
-24.41034747,-44.07599634,68.35432628,47.05967122,-22.54800469,-10.89525536,48.51995529,10.52493182,1.967445121,4.934164591,-4.371639977,55.93958251,56.37653182,-35.56600797,-26.90516697,39.77202457,14.04001411,-4.712661574
-24.42849163,-44.03232193,68.32254864,47.06247292,-22.53575325,-10.87998774,48.50028115,10.53595921,1.947180145,5.00443425,-4.421197433,55.81725324,56.35488896,-35.59331928,-26.93038983,39.78778096,14.05715288,-4.717813975
-24.43658302,-43.99539471,68.2725279,47.05957165,-22.52547175,-10.87177965,48.48007191,10.56457819,1.954052235,4.824357618,-4.3089145,55.83848014,56.33797283,-35.56789373,-26.92477849,39.81467974,14.05441944,-4.70851308
-24.42693822,-43.97101003,68.20728709,47.06114593,-22.50851417,-10.85976754,48.45683922,10.59279412,1.993062343,4.951380091,-4.406759644,55.92607499,56.29435314,-35.50209808,-26.89055418,39.87245897,14.0498975,-4.681062052
-24.43665456,-43.95356668,68.2075669,47.06314095,-22.49054531,-10.84566725,48.43805994,10.57563668,1.97800187,4.874310375,-4.418666175,56.15373957,56.25534737,-35.44521356,-26.84713058,39.9280705,14.03549941,-4.695701287
-24.40113687,-43.95641239,68.21203013,47.06035023,-22.4768497,-10.84362143,48.41983237,10.56069704,2.008142273,4.809017468,-4.385116766,56.00684339,56.22829293,-35.30238963,-26.76379036,39.97157806,13.99912979,-4.668876717
-24.37702697,-43.89029662,68.11960752,47.0579871,-22.46840782,-10.84200959,48.34851897,10.634593,2.046397325,4.768020903,-4.224041553,56.18521002,56.2142377,-35.25956844,-26.71257264,39.9926892,13.95821832,-4.694629988
-24.36435364,-43.81695025,68.01282262,47.06251416,-22.44363716,-10.81929118,48.27422493,10.74360147,2.117050814,4.73136513,-4.161629964,56.04210138,56.18074209,-35.26723575,-26.7375681,40.02210626,13.9921567,-4.660487743
-24.34437567,-43.75294561,67.90733573,47.06785454,-22.44062004,-10.82212803,48.19864961,10.85845429,2.207468861,4.616435916,-4.107734767,56.18567409,56.1975518,-35.29653086,-26.80149884,39.99838221,14.01406983,-4.628843507
-24.3627747,-43.76567306,67.90800269,47.07666343,-22.425392,-10.81862761,48.18962757,10.85161182,2.199267145,4.779722269,-4.234380689,56.18563558,56.22318564,-35.29640093,-26.83977862,39.97633488,14.02637549,-4.589570827
-24.35876567,-43.78752227,67.92314578,47.08493281,-22.43009095,-10.81925689,48.18258657,10.84151972,2.197706808,4.823150777,-4.272141072,56.40442142,56.24309871,-35.3529095,-26.87444034,39.94845481,14.02069186,-4.618754532
-24.37163069,-43.79649704,67.93147141,47.09396106,-22.41473588,-10.81438979,48.17694174,10.84495532,2.190570283,4.853071903,-4.202767548,56.29607947,56.31861398,-35.38816549,-26.89561385,39.87604374,13.99739501,-4.640766344
