Left_Hip_FlexExt,Left_Hip_AbdAdd,Left_Hip_IntExt,Left_KneeFlexExt,Left_KneeAbdAdd,Left_KneeIntExt,Left_AnkleRot,Left_Ankledors,Left_Ankleprog,Right_Hip_FlexExt,Right_Hip_AbdAdd,Right_Hip_IntExt,Right_KneeFlexExt,Right_KneeAbdAdd,Right_KneeIntExt,Right_AnkleRot,Right_Ankledors,Right_Ankleprog
72.3159599,11.96637883,52.32392493,-92.25207554,17.03307219,-9.340137767,80.00045029,-18.93608929,-22.74713891,105.2553143,25.97288438,107.139135,-87.83224532,-27.69999388,13.02280996,78.82691038,18.69889448,17.19544346
72.311726,11.9326892,52.3193781,-92.30199807,17.03151628,-9.379726756,80.01042255,-18.94708346,-22.73467311,105.2517134,25.98199029,107.1293108,-87.82431208,-27.68966468,13.03353477,78.73372695,18.6781452,17.2087379
72.30220315,11.9236893,52.31897717,-92.31401066,17.02631916,-9.391371557,80.01370261,-18.93645155,-22.72711961,105.1781889,25.9691363,107.0929522,-87.82764224,-27.68751842,12.96526222,78.73870475,18.46330259,17.27781002
72.30178904,11.87993192,52.33146373,-92.35522854,17.00999218,-9.420516135,80.00971785,-18.93783027,-22.71691001,105.1726515,25.96151845,107.061338,-87.84094102,-27.66187726,12.96500218,78.70427981,18.41246364,17.22275198
72.26127721,11.89347726,52.34167836,-92.3192357,16.97371899,-9.430595924,79.98812412,-18.9249093,-22.69706422,105.1803882,25.9718928,107.0043546,-87.82484363,-27.62184273,12.97512844,78.82904739,18.57272812,17.22325611
72.26319031,11.88644753,52.35589942,-92.33236369,16.93718015,-9.411129169,79.98144368,-18.90690307,-22.67514282,105.0510071,25.91883918,106.9221645,-87.85363157,-27.61446947,12.88036149,78.71903275,18.71227509,17.19939256
72.25806256,11.91813707,52.35623142,-92.30132128,16.92210212,-9.364924214,79.97563544,-18.88118475,-22.66214127,104.9854129,25.92908848,106.8651584,-87.8312996,-27.59029462,12.82530644,78.63265087,18.82473125,17.18977459
72.27789901,11.90942832,52.34952382,-92.32840885,16.9241218,-9.347847622,80.00560911,-18.88579983,-22.64114439,105.031012,25.9254281,106.8475905,-87.8543307,-27.56033967,12.88061525,78.60613675,18.68523621,17.29283725
72.27406982,11.88263169,52.35533475,-92.36829711,16.91567337,-9.350352614,80.0381995,-18.86869032,-22.65686986,105.0298536,25.90620909,106.8303517,-87.86997517,-27.54646141,12.89441498,78.53260074,18.83780753,17.20271295
72.28515852,11.90767887,52.3720524,-92.36565261,16.91728788,-9.312173955,80.06330794,-18.8812074,-22.67328186,104.9618835,25.91932644,106.818697,-87.84054095,-27.57052903,12.83758825,78.74571417,18.76097912,17.2277029
72.2921709,11.9654385,52.37683023,-92.32993418,16.92676058,-9.279729272,80.08007844,-18.90049367,-22.68654511,104.9440716,25.91544476,106.8062197,-87.82703048,-27.57219445,12.83405206,78.67121336,18.86650625,17.13975989
72.3088511,11.99321766,52.39330518,-92.31650996,16.92777744,-9.254442481,80.08803767,-18.92234997,-22.70168211,104.9647965,25.86624013,106.784829,-87.90442342,-27.52170528,12.87496364,78.86041303,18.9135338,17.05178711
72.30652059,12.00581997,52.40121244,-92.29707395,16.93794899,-9.246647935,80.10950121,-18.92711038,-22.72823303,104.9882206,25.8401605,106.7375834,-87.95125514,-27.4457171,12.91237856,78.96911241,18.90141378,17.24868338
72.36852299,12.00957914,52.40627894,-92.34023368,16.94753204,-9.204802995,80.12799558,-18.95159754,-22.73417218,104.9872687,25.87567781,106.7037419,-87.90853061,-27.39548225,12.91480108,79.08175118,18.86612025,17.42432864
72.35054222,12.05030021,52.40751376,-92.27704213,16.94455378,-9.176303701,80.11492355,-18.94237512,-22.74869907,104.921797,25.89314906,106.7304922,-87.88346551,-27.4530335,12.87330062,78.97411009,18.88233433,17.3239786
72.30732063,12.05189688,52.42469917,-92.24901275,16.91994489,-9.190510039,80.12325191,-18.93536777,-22.75532375,104.9582768,25.904181,106.7557441,-87.88785755,-27.46667985,12.92950351,79.12191669,18.91597088,17.21741137
72.32528987,12.03980894,52.44001841,-92.26751219,16.89902849,-9.189053074,80.12764517,-18.93961507,-22.74708189,104.8822524,25.94933618,106.7849225,-87.83322496,-27.50852141,12.85179697,79.02475592,18.98655925,17.12217831
72.36769188,12.05858025,52.44602634,-92.27430133,16.91730518,-9.142397263,80.13125571,-18.96254134,-22.75072401,104.8782372,25.95218268,106.8045098,-87.83138531,-27.51429421,12.85679707,78.98235881,18.86816502,17.07724816
72.37308962,12.03509972,52.46873349,-92.30942959,16.91313855,-9.149427123,80.13966718,-18.95788153,-22.76748047,104.8574292,25.93004811,106.821786,-87.82162877,-27.53491568,12.81805139,78.81158869,18.88087178,17.0364517
72.36926704,11.97677373,52.44381658,-92.39839562,16.95371622,-9.185064412,80.15562554,-18.94020647,-22.79739477,104.8710107,25.98314875,106.8755911,-87.75614878,-27.58079433,12.82684248,79.01261306,18.79164275,17.11950389
72.34119696,11.93664673,52.41617434,-92.41330421,17.0076695,-9.221842575,80.15488056,-18.9246959,-22.83427603,104.8912706,26.04053011,106.9265996,-87.69276027,-27.61913228,12.84163029,78.95586395,18.64852197,17.24441459
