Left_Hip_FlexExt,Left_Hip_AbdAdd,Left_Hip_IntExt,Left_KneeFlexExt,Left_KneeAbdAdd,Left_KneeIntExt,Left_AnkleRot,Left_Ankledors,Left_Ankleprog,Right_Hip_FlexExt,Right_Hip_AbdAdd,Right_Hip_IntExt,Right_KneeFlexExt,Right_KneeAbdAdd,Right_KneeIntExt,Right_AnkleRot,Right_Ankledors,Right_Ankleprog
-22.43731546,46.34101991,-9.249853648,10.86247755,45.37232114,2.715858971,67.27674957,-21.93744552,-44.18600782,-34.68278036,55.04948273,-26.1087348,15.10148594,34.44802101,-4.361674536,57.51992016,5.643895685,1.506980593
-22.44965384,46.34316262,-9.259277615,10.90059996,45.36226723,2.746606117,67.2627509,-21.93943023,-44.18438837,-34.67809447,55.09898533,-26.09882228,15.06986852,34.40605919,-4.383092554,57.71587148,5.573938977,1.587169658
-22.4528481,46.34865303,-9.256345687,10.89354953,45.33956878,2.749619769,67.24259103,-21.92604925,-44.17898167,-34.67556898,55.16011864,-26.04478136,15.00997369,34.3659333,-4.455655651,57.5506773,5.584342213,1.628446569
-22.45899534,46.3423002,-9.267175914,10.94089571,45.32778475,2.771272041,67.18614671,-21.92845325,-44.11966939,-34.62608307,55.15213804,-25.98463031,14.97430335,34.38723261,-4.472302794,57.42683877,5.586815224,1.580319176
-22.46848091,46.33726618,-9.276630552,10.94758823,45.31486357,2.781986366,67.14829122,-21.92668402,-44.06806192,-34.61592816,55.13690702,-25.95529829,14.97169009,34.40868795,-4.485015655,57.34331542,5.43735617,1.664317927
-22.4651804,46.34099139,-9.276789514,10.9374473,45.32220648,2.7873972,67.17613794,-21.92860011,-44.09208504,-34.56874957,55.10977509,-25.87403181,14.94764584,34.45301955,-4.506830982,57.29932152,5.571853408,1.488670534
-22.46541171,46.34852175,-9.282402056,10.91201106,45.32985877,2.759099595,67.20517944,-21.95310302,-44.1066816,-34.50151502,55.10540776,-25.74497856,14.87520847,34.48267191,-4.577475785,57.46149141,5.466453856,1.406434706
-22.47790326,46.35517654,-9.293482819,10.90024358,45.34683942,2.733792009,67.25033701,-21.9646992,-44.13649652,-34.37496391,55.11147114,-25.58009419,14.7840689,34.51635341,-4.611024346,57.51125417,5.504140246,1.242553666
-22.4881041,46.35526385,-9.302864092,10.89905153,45.36424806,2.728724885,67.25845014,-21.9810297,-44.17032925,-34.35102307,55.08366348,-25.49730691,14.74893599,34.5477636,-4.666260912,57.65329831,5.675852366,1.203518417
-22.49050587,46.35717682,-9.310617743,10.90417363,45.3804678,2.744435239,67.27071388,-21.99284993,-44.2039564,-34.30310823,55.04354037,-25.45711786,14.74613915,34.58526033,-4.647547817,57.61414055,5.65422442,1.335588563
-22.50762426,46.35603039,-9.314069514,10.89524053,45.37961776,2.708519381,67.28436617,-22.02486932,-44.20114775,-34.09848886,55.02298189,-25.27104403,14.65651213,34.64804914,-4.643780303,57.78109286,5.617863572,1.497453903
-22.51546561,46.35690168,-9.320494272,10.9110841,45.37884874,2.73607635,67.28086734,-22.00117513,-44.22276305,-34.03344661,54.98852368,-25.18136961,14.63175414,34.69649859,-4.672676505,57.69379138,5.766436641,1.450624089
-22.52247963,46.35952067,-9.322530455,10.88000697,45.38299052,2.715847531,67.28238441,-21.99366184,-44.21183069,-33.97132069,54.95109859,-25.11978487,14.61927888,34.74019585,-4.678340707,57.69856154,5.543651464,1.532027135
-22.52997287,46.3624241,-9.32566848,10.84451647,45.38755255,2.689039408,67.29080355,-22.00407381,-44.19222147,-33.93453311,54.92433813,-25.06468365,14.60377209,34.7714532,-4.690036083,57.64714327,5.624295896,1.367498725
-22.53178081,46.3647852,-9.333389919,10.88241966,45.39764357,2.696634138,67.26073622,-22.02668186,-44.17455588,-33.93147664,54.89326327,-25.04379853,14.61501234,34.79602209,-4.679848152,57.48966016,5.604432553,1.327119901
-22.53423876,46.36191704,-9.336258862,10.85170181,45.44140951,2.674753113,67.30094942,-22.05588418,-44.22271495,-33.98640215,54.91556446,-25.06760503,14.60583825,34.75765727,-4.705160731,57.38704525,5.536187112,1.458189943
-22.54725166,46.36046304,-9.345210011,10.78828907,45.47416711,2.62891847,67.35719834,-22.08087458,-44.26074881,-34.00734291,54.92828609,-25.12395069,14.62203059,34.73232423,-4.659097653,57.36323425,5.679435987,1.481610588
-22.55422127,46.36177343,-9.340330056,10.79652965,45.49342218,2.617632964,67.3506672,-22.10462749,-44.28479011,-34.02672335,54.95096066,-25.14565158,14.6114567,34.70885914,-4.676444615,57.58390811,5.64513472,1.579988413
-22.5754255,46.36560595,-9.343404542,10.7717683,45.5028157,2.595256146,67.36893953,-22.11864323,-44.30791814,-33.93347693,54.9108263,-25.05167395,14.56032985,34.77232287,-4.690498367,57.56269008,5.800428431,1.536899594
-22.57565967,46.37343169,-9.338681474,10.74945358,45.50954535,2.57958397,67.40085503,-22.1244427,-44.33140458,-33.93120667,54.85545698,-25.04636394,14.55953988,34.82192081,-4.683720611,57.59087428,5.634722286,1.672007314
-22.57916682,46.37409652,-9.34056467,10.74449596,45.52284515,2.59345638,67.4234067,-22.11339536,-44.37326501,-33.83682357,54.85980226,-24.94045205,14.47927004,34.84813059,-4.725927951,57.46921077,5.479565767,1.704526493
-22.59460739,46.37266327,-9.344217549,10.74601806,45.53761353,2.58339573,67.45294916,-22.12574383,-44.4035899,-33.8282479,54.82983171,-24.95083183,14.47929122,34.86979304,-4.710528042,57.41080825,5.546656656,1.565887061
-22.59688913,46.37320181,-9.340211129,10.72049943,45.52686927,2.553727564,67.48424096,-22.1238878,-44.41902792,-33.76631973,54.83965127,-24.83241233,14.39254802,34.89225432,-4.776665289,57.58162394,5.658034303,1.467206443
-22.60685306,46.3728849,-9.350421831,10.72083074,45.5141156,2.570645326,67.49234597,-22.10864256,-44.44041989,-33.79160878,54.85728656,-24.84380714,14.40838127,34.86728167,-4.779764386,57.42350269,5.548518512,1.51148639
-22.6063665,46.37355422,-9.349480058,10.71781291,45.50464361,2.551288231,67.5020576,-22.12705658,-44.44797918,-33.82829911,54.86427245,-24.87458363,14.41023941,34.84542564,-4.794251896,57.52448886,5.705119227,1.396158367
-22.59682068,46.38382218,-9.343620806,10.7412744,45.48563122,2.567946673,67.46323882,-22.12909142,-44.42055355,-33.91162508,54.86082301,-24.94813468,14.44984364,34.82032497,-4.798311108,57.36366325,5.750270227,1.335296172
-22.60515858,46.39626968,-9.334987345,10.75521178,45.46595771,2.563547926,67.42460895,-22.11784777,-44.39889222,-33.96680163,54.86900578,-24.99385067,14.47934942,34.79717146,-4.805465911,57.40932411,5.535348402,1.436385747
-22.59213806,46.40905561,-9.333070937,10.75254146,45.46273191,2.558043281,67.41648306,-22.13026248,-44.40552247,-34.02484373,54.86535115,-25.06135644,14.53210913,34.77830825,-4.787890153,57.37385784,5.330089388,1.527834699
-22.59480712,46.41369567,-9.32556651,10.7208835,45.46290328,2.530463793,67.44007761,-22.11857199,-44.41347306,-34.08634573,54.85889143,-25.11614983,14.57614658,34.76560329,-4.774414118,57.47129239,5.489587358,1.402155243
-22.60430624,46.41592954,-9.334123527,10.72562389,45.46259175,2.547015298,67.41578177,-22.07926319,-44.43493666,-34.17617861,54.82979131,-25.21779735,14.64810345,34.75429079,-4.746254645,57.55202739,5.654387662,1.276766252
-22.62584592,46.40976304,-9.359010021,10.74938723,45.47538734,2.570633153,67.41908641,-22.07823683,-44.44606168,-34.22601897,54.79164899,-25.30002063,14.70123488,34.75522601,-4.707147604,57.43347091,5.744356156,1.182865044
-22.63596619,46.40765327,-9.371234768,10.75699566,45.48481856,2.598152072,67.42254914,-22.06611658,-44.46029284,-34.23276621,54.77585825,-25.3187476,14.71284974,34.75098183,-4.689119562,57.37670517,5.562332073,1.296203843
-22.64403982,46.40557612,-9.383213574,10.73718742,45.51065446,2.58422274,67.44873202,-22.07203516,-44.47105956,-34.22446533,54.76387622,-25.33147832,14.73983557,34.74974414,-4.67772469,57.54428281,5.466697808,1.437483822
-22.66673541,46.40879372,-9.415917452,10.73910304,45.53198188,2.603927334,67.46318175,-22.08510339,-44.48247215,-34.33685762,54.76196818,-25.46685151,14.86469489,34.69563778,-4.593185224,57.46569596,5.362894463,1.615117838
-22.69052516,46.41524685,-9.437212109,10.72293178,45.55407418,2.563829828,67.48241583,-22.11902319,-44.50561672,-34.42723668,54.78546188,-25.54019334,14.93342221,34.63729848,-4.578239256,57.36203848,5.557331103,1.581460318
-22.71120068,46.41197013,-9.46573382,10.77359869,45.54513649,2.598246154,67.43534236,-22.12318918,-44.50006993,-34.34933273,54.78687517,-25.52702021,14.94002572,34.62521013,-4.523038958,57.33073343,5.747155903,1.509924816
-22.7245677,46.40735311,-9.488077551,10.78869577,45.53574959,2.629598628,67.4456035,-22.09323336,-44.50375991,-34.28848676,54.77668335,-25.54435297,14.93490976,34.63453069,-4.450112598,57.17673455,5.810731236,1.511405032
-22.73903341,46.40157907,-9.513221036,10.86107465,45.5281258,2.68127047,67.40808794,-22.08328543,-44.48903157,-34.32993927,54.74828848,-25.60440399,14.97863066,34.64698568,-4.432218423,57.14436955,5.608104742,1.640472867
-22.74508237,46.40546016,-9.531189125,10.85354933,45.51267414,2.69869377,67.4258492,-22.06721889,-44.47230861,-34.38243901,54.7209734,-25.67500865,15.04766413,34.64425783,-4.386488813,57.35182136,5.602722204,1.652218374
-22.76932072,46.40692478,-9.561994194,10.86752237,45.5002165,2.706608209,67.40044923,-22.07115295,-44.44742559,-34.49369351,54.67732489,-25.78719508,15.16004539,34.64358321,-4.340893082,57.44421794,5.766400366,1.553115199
-22.774799,46.40175113,-9.583375877,10.8519892,45.52446995,2.708161321,67.42868272,-22.0669133,-44.45284254,-34.49426486,54.62681798,-25.79037867,15.1918178,34.68107609,-4.322857909,57.54632931,5.924793232,1.446289469
