Left_Ankledors,Left_Ankleprog,Left_AnkleRot,Left_Hip_AbdAdd,Left_Hip_FlexExt,Left_Hip_IntExt,Left_KneeAbdAdd,Left_KneeFlexExt,Left_KneeIntExt,Right_Ankledors,Right_Ankleprog,Right_AnkleRot,Right_Hip_AbdAdd,Right_Hip_FlexExt,Right_Hip_IntExt,Right_KneeAbdAdd,Right_KneeFlexExt,Right_KneeIntExt
-14.29594091,40.65328944,40.08562003,-2.208630398,6.588900622,9.020612685,-45.42009873,31.97857663,-28.02374204,-1.831379293,82.23505414,152.24757,-6.917100737,-10.67854983,3.312855255,-11.12114252,-14.50698206,0.458493228
-14.49724629,40.85175517,40.60865181,-2.174724764,6.573204006,8.960090003,-45.52654656,31.53598364,-27.66568608,-1.332249314,82.42150114,152.2622548,-6.829494783,-10.5827247,3.287092625,-11.12768443,-14.61539287,0.469608385
-14.67592428,41.03396404,41.18765348,-2.141194462,6.552671805,8.89971931,-45.63868213,31.08736538,-27.289954,-0.87775079,82.58136612,152.1762984,-6.73706178,-10.48854309,3.265280352,-11.14044737,-14.7252401,0.478202409
-14.84548468,41.21058824,41.81431375,-2.106562261,6.530778211,8.840405613,-45.75289219,30.62885888,-26.91118804,-0.465818621,82.70899721,152.0774894,-6.64183307,-10.39510853,3.241344436,-11.15699245,-14.8387009,0.490208375
-14.99981934,41.37679399,42.48466762,-2.072849152,6.507110915,8.782877267,-45.86749435,30.16280099,-26.52438168,-0.051275852,82.83715477,151.978931,-6.54339777,-10.30151461,3.213950117,-11.17663376,-14.95529886,0.50617286
-15.13549803,41.52912465,43.19110569,-2.040052284,6.483295988,8.727067745,-45.98327436,29.68763763,-26.13188553,0.396552772,82.9844589,151.8709225,-6.44391538,-10.20920786,3.182278993,-11.19789916,-15.07461685,0.530970134
-15.25498733,41.66609971,43.9239324,-1.999454301,6.460345029,8.6712973,-46.09987305,29.20778969,-25.73195629,0.896226044,83.16407047,151.7675368,-6.337086991,-10.11062262,3.145011366,-11.22110428,-15.19642862,0.558765402
-15.35544671,41.78844605,44.67342742,-1.95915112,6.438022303,8.612426016,-46.21979377,28.71960967,-25.32588068,1.410592833,83.36414862,151.6636279,-6.231901043,-10.01291549,3.101537689,-11.24327206,-15.32082834,0.5915115
-15.4408365,41.90665764,45.43045033,-1.920637988,6.409060988,8.550911323,-46.34282033,28.23237289,-24.91532766,1.920929723,83.58767058,151.539987,-6.129761405,-9.915383361,3.053186389,-11.26386938,-15.44966023,0.629730185
-15.50764858,42.02310447,46.18789954,-1.882944418,6.378107524,8.493201301,-46.4697646,27.74752622,-24.5055932,2.432012263,83.84608382,151.3883738,-6.0309083,-9.818860385,2.999805857,-11.27988416,-15.58241003,0.675117557
-15.55846785,42.14173251,46.94099485,-1.845972397,6.344189532,8.433604955,-46.60389835,27.26099138,-24.09455664,2.916747598,84.12834469,151.203432,-5.750719636,-9.549012856,3.003130264,-11.50036831,-15.87764333,0.701806692
-15.59861351,42.27003199,47.68273368,-1.810935035,6.306872853,8.376569678,-46.74230951,26.78197086,-23.69123292,3.337984095,84.41118439,151.0185247,-5.469138252,-9.274193452,2.996401334,-11.71756861,-16.18685094,0.746514383
-15.6276861,42.40936222,48.41216609,-1.777764188,6.275290877,8.322118628,-46.88646252,26.30672036,-23.29719281,3.656418838,84.6662503,150.8372668,-5.182066837,-9.000084582,2.982483517,-11.93581764,-16.50112418,0.804692305
-15.65229711,42.56542994,49.10472545,-1.741568406,6.256377396,8.267972457,-47.0358131,25.85042683,-22.93633961,3.88253601,84.89969294,150.6576197,-4.891360229,-8.733826049,2.946818853,-12.14711907,-16.81587481,0.891518078
