Left_Hip_FlexExt,Left_Hip_AbdAdd,Left_Hip_IntExt,Right_Hip_FlexExt,Right_Hip_AbdAdd,Right_Hip_IntExt,Left_KneeFlexExt,Left_KneeAbdAdd,Left_KneeIntExt,Right_KneeFlexExt,Right_KneeAbdAdd,Right_KneeIntExt,Left_AnkleRot,Left_Ankledors,Left_Ankleprog,Right_AnkleRot,Right_Ankledors,Right_Ankleprog
85.93299217,-83.34926767,-78.39879348,-142.1787509,-58.99377703,146.2337663,13.29360468,13.73172513,18.20496263,-34.8395671,7.837973941,-20.7745608,87.90383923,-4.208775517,-79.37997939,23.00766835,-42.70297243,9.508338309
90.87519087,-85.73059388,-83.49020327,-141.1988776,-57.73836672,145.8155331,14.61616254,14.2492876,18.51963922,-33.55421831,8.475820816,-19.02213133,88.45351365,-4.115879315,-79.16584614,29.43127586,-40.57084453,1.466469898
111.6885656,-87.83424016,-104.5609692,-140.2924542,-56.70632299,145.3700148,15.89282975,14.89002283,18.91308274,-31.58839066,9.549177601,-16.73292548,89.00125545,-4.056680712,-78.89062303,35.5676602,-37.60776295,-6.84874448
173.369125,-88.51375974,-179.6011539,-139.666519,-56.03311042,145.0656017,16.97354212,15.53412799,19.25988047,-28.76230784,10.65626912,-13.7539473,89.65270548,-3.915344094,-78.70079775,40.6203217,-33.21724427,-14.69743675
131.8561624,-87.12127129,-139.0502709,-139.4965603,-55.78709022,145.0546023,17.87573579,15.9307392,19.44762558,-24.77123737,11.5617248,-10.02269593,90.15586006,-3.705996928,-78.51351817,43.89613012,-27.20835002,-22.14335153
119.3483748,-85.64312113,-126.75398,-139.6637864,-55.91963044,145.213629,18.41790236,16.07848419,19.56193081,-19.98395382,11.9406589,-5.854126516,90.65009255,-3.42935953,-78.34256958,44.75236234,-20.32783693,-28.37350978
112.2280029,-84.08936196,-119.8370585,-140.5256257,-56.484672,145.9623471,18.69110961,16.15871779,19.69312034,-14.79396798,11.65398407,-1.93188935,91.1713457,-3.113382199,-78.16444614,43.73310022,-13.18419632,-33.1912425
108.8034112,-82.70982382,-116.6203092,-141.7661466,-56.90894873,146.9068003,18.76571911,16.34381685,19.85422421,-9.75929068,11.01908949,1.395617081,91.76748386,-2.77319094,-78.05688047,41.431704,-6.435423648,-37.25249288
107.3992286,-81.33180963,-115.3861102,-143.380286,-57.15218546,148.0619244,18.76546601,16.66394452,20.07354561,-4.663978161,10.26539028,4.608996839,92.48694954,-2.456829769,-77.88940239,38.1802021,-0.007508677,-41.27409362
106.7101499,-80.22454133,-115.0482166,-144.9301235,-57.00878292,148.8724996,18.61284387,17.09863781,20.22837546,0.382079273,9.710879041,7.512257043,93.29020287,-2.018225393,-77.72521396,34.54241445,5.907276389,-45.50659668
